tickers,name,sector,market,8월1일psr,8월1일pbr2,8월1일_s_return,8월1일_l_return,순매수강도(20일),s_growth,l_growth,roe,deb,3주후 수익률,수익률상위권2,cluster8월1일_6차와같은방식
a138610,나이벡,건강관리,kosdaq,6.3094625,3.7177159,-0.1384711779448621,-0.0185581727337615,0.0017890977127639012,0.595588235,0.326352403,-11.81,104.36,0.10976594,1,0
a043910,자연과환경,"상사, 자본재",kosdaq,1.345680885,1.461086957,0.1170018281535649,0.0208855472013366,-0.0010036127630125562,0.341197822,0.325953799,0.73,62.56,-0.114492754,0,1
a071055,한국금융지주우,증권,kospi,0.009198831,0.009961977,-0.0426309378806333,0.0076923076923076,-0.003104601282914976,0.815472218,0.324503936,8.45,1020.05,-0.003802281,0,0
a214450,파마리서치,건강관리,kosdaq,7.082851345,3.895713172,0.2909441233140655,0.006006006006006,0.009114534900416043,0.264114212,0.324165689,12.5,28.63,0.044427124,1,0
a307280,원바이오젠,건강관리,kosdaq,2.919049564,2.777389381,0.1119791666666666,0.0440097799511002,0.03326304629831731,0.508474576,0.324151897,11.97,45.13,-0.055309735,0,0
a035720,카카오,소프트웨어,kospi,3.43193204,2.393076923,-0.0615384615384615,0.0319548872180451,0.11235908085173618,0.158081705,0.32283961,13.54,69.7,0.082840237,1,0
a000230,일동홀딩스,건강관리,kospi,0.194760267,10.89605735,-0.1155934833204034,0.0401459854014598,0.032491481951067255,0.14027684,0.32225448,-314.25,410.08,0.362007168,1,0
a084180,수성샐바시온,기계,kosdaq,1.556390852,1.638928189,0.1643518518518518,0.0151362260343087,0.0063093158286205335,0.413513514,0.320764165,-17.8,97.03,0.078242229,1,1
a092070,디엔에프,반도체,kosdaq,2.203959641,1.97974026,0.56155245603396,0.0383064516129032,0.025182507936169257,0.063729347,0.319875969,3.92,20.77,0.337662338,1,0
a08537M,루트로닉3우C,건강관리,kosdaq,0.032739894,0.328598848,0.4861111111111111,0.0056390977443609,-0.004863754889038202,0.521889401,0.31836147,32.06,35.24,0.026871401,1,0
a085370,루트로닉,건강관리,kosdaq,3.656381145,5.81,0.3619402985074627,-0.0013679890560875,0.06078165350453395,0.521889401,0.31836147,32.06,35.24,0.0,0,0
a114630,폴라리스우노,"화장품, 의류",kosdaq,0.482826213,0.502405063,-0.0992647058823529,0.0068493150684931,-0.02851200300509483,0.447761194,0.317655743,4.54,28.93,-0.069620253,0,0
a267250,HD현대,에너지,kospi,0.081005633,0.589274874,0.0434782608695652,0.0097087378640776,0.05780856582807512,1.146093808,0.317126419,20.43,181.86,0.05227656,1,0
a305090,마이크로디지탈,건강관리,kosdaq,12.29849978,19.125,-0.0897269180754226,0.0,-0.033163949395685545,1.069767442,0.316563467,-104.85,422.52,-0.038461538,0,0
a391710,코닉오토메이션,소프트웨어,kosdaq,4.536398684,5.913226667,-0.1059782608695652,0.0329670329670329,-0.018356996658129315,0.102564103,0.31622718,-40.28,40.45,-0.122666667,0,0
